title,price,prod_rating,rating_count,discount,seller_rating
"REDMI Note 12 (Ice Blue, 64 GB)  (6 GB RAM)","₹14,999",4.1,"5,928",21%,4.5
Nokia 105 SS  (Blue),"₹1,599",4.2,"20,954",,4.9
"REDMI 10 (Caribbean Green, 64 GB)  (4 GB RAM)","₹9,499",4.3,"2,36,572",36%,4.9
"Infinix HOT 20 5G (Blaster Green, 64 GB)  (4 GB RAM)","₹11,499",4.2,"11,835",36%,4.9
LAVA Hero 600i  (Green),₹899,4,911,25%,4.9
LAVA A1  (White/Grey),"₹1,129",4.2,"1,09,236",15%,4.9
Nokia TA-1304/105 SS  (Black),"₹1,450",4.2,"63,755",6%,4.1
"REDMI K50i 5G (Stealth Black, 256 GB)  (8 GB RAM)","₹23,999",4.2,953,33%,4.9
"OnePlus 11R 5G (Sonic Black, 256 GB)  (16 GB RAM)","₹43,997",4.5,"2,658",2%,4.1
"Infinix HOT 20 5G (Space Blue, 64 GB)  (4 GB RAM)","₹11,499",4.2,"11,835",36%,4.9
SAMSUNG Guru Music 2 SM-B315E  (Black),"₹2,490",4.2,"10,162",3%,3.5
LAVA A3 Power  (Blue),"₹1,339",4.1,"2,411",29%,4.9
"MOTOROLA e13 (Cosmic Black, 64 GB)  (2 GB RAM)","₹6,799",4,"3,300",32%,4.9
Kechaoda K112  (Black),"₹1,599",4,"21,959",13%,4.1
"REDMI Note 12 5G (Mystique Blue, 128 GB)  (6 GB RAM)","₹18,999",4.2,"1,881",13%,4.9
"REDMI 10 (Midnight Black, 64 GB)  (4 GB RAM)","₹9,499",4.3,"2,36,572",36%,4.5
"REDMI 11 Prime (Peppy Purple, 128 GB)  (6 GB RAM)","₹11,999",4.2,734,29%,4.9
"Infinix HOT 20 5G (Racing Black, 64 GB)  (4 GB RAM)","₹11,499",4.2,"11,835",36%,4.9
"SAMSUNG Galaxy M33 5G (Mystique Green, 128 GB)  (8 GB RAM)","₹17,218",4.2,"2,716",33%,4.1
"realme C25s (Watery Grey, 128 GB)  (4 GB RAM)","₹9,999",4.4,"52,049",16%,4.9
"APPLE iPhone 14 (Blue, 128 GB)","₹69,999",4.6,"38,279",12%,5
"realme C35 (Glowing Black, 128 GB)  (4 GB RAM)","₹10,699",4.4,"1,90,495",28%,4.9
"realme C35 (Glowing Black, 64 GB)  (4 GB RAM)","₹9,699",4.4,"1,90,495",30%,4.9
"REDMI Note 12 5G (Mystique Blue, 128 GB)  (4 GB RAM)","₹16,999",4,"1,353",15%,4.9
"Infinix HOT 20 Play (Racing Black, 64 GB)  (4 GB RAM)","₹8,299",4.4,"25,770",30%,4.9
itel It2171  (Elegant Black),"₹1,099",4.1,"5,845",4%,4
"Infinix HOT 20 Play (Aurora Green, 64 GB)  (4 GB RAM)","₹8,299",4.4,"25,770",30%,4.9
"Infinix HOT 20 Play (Luna Blue, 64 GB)  (4 GB RAM)","₹8,299",4.4,"25,770",30%,4.9
itel It2171  (Elegant Black),"₹1,099",4.1,"5,845",4%,4
"Infinix HOT 20 Play (Luna Blue, 64 GB)  (4 GB RAM)","₹8,299",4.4,"25,770",30%,4.9
"Infinix HOT 20 Play (Aurora Green, 64 GB)  (4 GB RAM)","₹8,299",4.4,"25,770",30%,4.9
"Infinix HOT 20 Play (Fantasy Purple, 64 GB)  (4 GB RAM)","₹8,299",4.4,"25,770",30%,4.9
"APPLE iPhone 14 (Blue, 128 GB)","₹69,999",4.6,"38,279",12%,5
"REDMI 11 Prime (Peppy Purple, 128 GB)  (6 GB RAM)","₹11,999",4.2,734,29%,4.9
itel It2171  (City Blue),"₹1,099",4.1,"5,845",4%,4
"REDMI Note 12 (Lunar Black, 64 GB)  (6 GB RAM)","₹14,999",4.1,"5,928",21%,4.9
"REDMI Note 12 5G (Matte Black, 128 GB)  (6 GB RAM)","₹18,999",4.2,"1,881",13%,4.5
Nokia 105 TA-1416 DS  (Blue),"₹1,599",4.1,"2,054",,4.9
"realme Narzo N55 (Prime Black, 128 GB)  (6 GB RAM)","₹13,478",4.3,562,10%,4.1
"POCO X5 5G (Supernova Green, 256 GB)  (8 GB RAM)","₹17,999",4.1,"2,973",25%,5
Nokia 150 TA-1235 DS  (Black),"₹2,615",4.1,"13,377",12%,4.8
"REDMI Note 12 Pro 5G (Stardust Purple, 128 GB)  (6 GB RAM)","₹23,999",4.3,"24,337",14%,4.9
"SAMSUNG Galaxy S21 FE 5G (White, 128 GB)  (8 GB RAM)","₹32,999",4.3,"56,543",56%,4.9
"SAMSUNG Galaxy S21 FE 5G (Graphite, 128 GB)  (8 GB RAM)","₹32,999",4.3,"56,543",56%,4.9
Motorola a70  (Dark Blue),"₹1,869",4,"1,319",22%,4.9
"vivo T1 44W (Midnight Galaxy, 128 GB)  (8 GB RAM)","₹17,999",4.3,"7,023",24%,5
"vivo T1 44W (Ice Dawn, 128 GB)  (8 GB RAM)","₹17,999",4.3,"7,023",24%,4.3
"vivo T1 44W (Starry Sky, 128 GB)  (6 GB RAM)","₹15,999",4.4,"61,766",23%,5
"REDMI 12C (?Lavender Purple, 128 GB)  (6 GB RAM)","₹10,930",4.2,442,31%,4.1
"vivo T1 44W (Midnight Galaxy, 128 GB)  (4 GB RAM)","₹14,499",4.5,"1,07,941",27%,4.9
KARBONN Jumbo K9  (Black and Red),"₹1,291",4,"13,346",16%,4.9
Motorola a70  (Rose Gold),"₹1,869",4.1,"2,002",22%,4.9
